"title","full_address","email","affiliations","type","established","phone"
"Bhagawati Basic School","Chhathar-5, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Shree Masta Basic School","Boharagaun, Shikhar-7, Doti","N/A","N/A","Public","N/A","N/A"
"Bir Basic School","Fuldanda, Khanikhola-4, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Sikshya Darpan Pre School","Suryabinayak, Bhaktapur","N/A","N/A","Private","N/A","N/A"
"Joontara English Boarding School","Sittalpati, Myanglung-8, Tehrathum","N/A","N/A","Private","N/A","N/A"
"Sitamai Basic School","Retikhola, Benighat Rorang-2, Dhading","N/A","N/A","Public","N/A","N/A"
"Shree Namobuddha Primary School","Kurgaun, Namobuddha-11, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Bal Mukti Basic School","Layakpur Shibir, Janaki-3, Kailali","N/A","N/A","Public","N/A","N/A"
"Shiksha Vikas Secondary School","Lakhantari, Gramthan-1, Morang","N/A","N/A","Public","N/A","N/A"
"Madrassa Faijane Mustafa Basic School","Gaidahawa, Maharajgunj, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Gambo Danda Basic School","Lama Tole, Panchakanya-4, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Banjh Kateri Basic School","Bajhakateri, Madane-2, Gulmi","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Malarani-4, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Gaun Pharka Janahit Basic School V","Arjunchaupari-6, Syangja","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School Kamaighari","Kamaighari, Lekbeshi-4, Surkhet","N/A","N/A","Public","N/A","N/A"
"Ranichari Basic School","Arjunchaupari-2, Syangja","N/A","N/A","Public","N/A","N/A"
"Bhumiraj Basic School","Bankada, Dogadakedar-5, Baitadi","N/A","N/A","Public","N/A","N/A"
"Khoriya Basic School","Dhaulagiri-2, Myagdi","N/A","N/A","Public","N/A","N/A"
"Janata Basic School Laxminiya","Laxminiya, Mahadeva-4, Saptari","N/A","N/A","Public","N/A","N/A"
"Chakreshwor Basic School","Tarkeshwar-4, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Basic School, Katahare","Katahare, Kailash-3, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Shree Dashan Khushilal Ja Ra Basic School Katabi","Madhepura Bishnupur, Bishnupur-1, Saptari","N/A","N/A","Public","N/A","N/A"
"Harihar Basic School","Myanglung-5, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Primary School Bhagawanpur","Bhagawanpur, Barahathawa-9, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Shree Buddhi Binod Basic School","Roshi-10, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Dipjyoti Basic School Majhgaun","Triveni-9, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Gangabishnu Basic School","Kathtaiya, Omsatiya-1, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Sewa Academy","Banedungrisain, Shikhar-10, Doti","N/A","N/A","Private","N/A","N/A"
"Abu Harera Kamrul Hoda Islamik Madarasa","Shuddhodhan-3, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Baijanath Basic School","Bhaliya, Amargadhi-4, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Karnali Academy Boarding School","Simkot-6, Humla","N/A","N/A","Public","N/A","N/A"
"Ganesh Basic School","Pal Tole, Dewanganj-5, Sunsari","N/A","N/A","Public","N/A","N/A"
"Basic School","Malangwa-2, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Chandra Surya Basic School","Shahabire, Mai-1, Ilam","N/A","N/A","Public","N/A","N/A"
"Madrassa Ahile Sunnat Faijane Raja","Lamahi-5, Dang","N/A","N/A","Religious","N/A","N/A"
"Bright Eyes Child Care Center","Birendranagar, Surkhet","N/A","N/A","Private","N/A","N/A"
"Milky Way Galaxy English Boarding School","Balwa, Mahottari","N/A","N/A","Private","N/A","N/A"
"Saraswati Basic School","Phularkha Majuwa, Gangajamuna-5, Dhading","N/A","N/A","Public","N/A","N/A"
"Madrassa Gajiya Anawarululum","Purainee, Nepalgunj-22, Banke","N/A","N/A","Religious","N/A","N/A"
"Kali Devi Basic School","Topka, Balephi-8, Sindhupalchok","N/A","N/A","Public","N/A","N/A"
"Golden Buds Academy","Tokha-6, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Suntale Basic School","Makapu, Barahapokhari-2, Khotang","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School Kandadalli","Nalgad-7, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Sikshya Jyoti Basic School","Makalu-2, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Janakalyan Basic School","Kuskot, Mellekh-4, Achham","N/A","N/A","Public","N/A","N/A"
"Shree Kaper Basic School","Kamidanda, Bethanchowk-5, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Pajung Basic School","Pajung, Aamachhodingmo-5, Rasuwa","N/A","N/A","Public","N/A","N/A"
"Madarsa Gulsane Reja Faijile Bareli Gopalpur","Gopalpur, Kshireshwornath-10, Dhanusha","N/A","N/A","Religious","N/A","N/A"
"Shiva Basic School","Dhugdugi, Kachankawal-6, Jhapa","N/A","N/A","Public","N/A","N/A"
"Suryodaya Basic School","Tatopani-4, Jumla","N/A","N/A","Public","N/A","N/A"
"Vulvule Basic School","Kaule, Ichchhakamana-2, Chitwan","N/A","N/A","Public","N/A","N/A"
"Jana Basic School","Jamuwa, Ramdhuni-6, Sunsari","N/A","N/A","Public","N/A","N/A"
"Bhawani Basic School","Dhaitar, Mandandeupur-8, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Chure Janta Basic School","Ittatar, Lalbandi-14, Sarlahi","N/A","N/A","Public","N/A","N/A"
"Sano Sansar","Tarakeshwor-6, Kathmandu","N/A","N/A","Religious","N/A","N/A"
"Shila Devi Primary School","Silgaun, Dipayal Silgadi-6, Doti","N/A","N/A","Public","N/A","N/A"
"Dalit Jagaran Pr Vi","Shobhadanda, Darma-2, Salyan","N/A","N/A","Public","N/A","N/A"
"Devisthan Basic School","Jamunabot, Manthali-6, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Janasewa Basic School","Todke, Bhumikasthan-10, Arghakhanchi","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School, Akapate","Ekpate, Mahabu-6, Dailekh","N/A","N/A","Public","N/A","N/A"
"Amar Jyoti Basic School","Thin,Nayagaun, Vyas-14, Tanahun","N/A","N/A","Public","N/A","N/A"
"Balkalyan Basic School, Bhatakatiya","Bhatakatiya, Ramaroshan-6, Achham","N/A","N/A","Public","N/A","N/A"
"Naya Nepal Dalit Ra Basic School","Naya Tole, Kshireshwornath-2, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Shree Durga Mai Gurukul Sanskrit Bidyalaya","Barrohiya, Mayadevi, Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Gayankunj Basice School","Nahada, Shivalaya-9, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Nepal Ymca Bal Bikash Kendra","Khumaltar-15, Lalitpur","N/A","N/A","Private","N/A","N/A"
"Uttarganga Child Care Center And Happy Kids Home","Birendranagar, Surkhet","N/A","N/A","Private","N/A","N/A"
"Madrassa Arabiya Faijul Ishlam","Ramawapur, Mayadevi-4, Rupandehi","N/A","N/A","Public","N/A","N/A"
"Ganesh Basic School","Pakhathar-4, Baglung","N/A","N/A","Public","N/A","N/A"
"Mila Academy","Kathmandu","N/A","N/A","Private","N/A","N/A"
"Dharan Peace Angel Academy Basic School","Dharan-8, Sunsari","N/A","N/A","Private","N/A","N/A"
"Madrassa Faijul Islami Basic School","Gonarapura-6, Mahottari","N/A","N/A","Religious","N/A","N/A"
"Ganeshman Smriti Primary School","Dumada, Amargadhi-6, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Majhaule Khawa, Temkemaiyung-5, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Shree Bhanu Basic School Chainpur Singpal","Chainpur Simpal, Ghyanglekh-5, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Jalpa Devi Basic School","Dadagoun Gairichour, Suryagadhi-5, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Tilkeni, Bheemdatt-10, Kanchanpur","N/A","N/A","Public","N/A","N/A"
"Lamitar Basic School","Lamitar, Rong-6, Ilam","N/A","N/A","Public","N/A","N/A"
"Jivan Nirman Basic School","Dhurkot-3, Gulmi","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Deumai-2, Ilam","N/A","N/A","Public","N/A","N/A"
"Yuwabarsa Basic School","Baraula, Airawati-2, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Tinau-6, Palpa","N/A","N/A","Public","N/A","N/A"
"Deurali Basic School","Raghuganga-2, Myagdi","N/A","N/A","Public","N/A","N/A"
"Bal Kiran Basic School Kolbot","Kolbot, Airawati-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Devisthan Basic School","Hula, Isma-4, Gulmi","N/A","N/A","Public","N/A","N/A"
"Amaramarlaxmi I","Jirayat, Rangeli-8, Morang","N/A","N/A","Public","N/A","N/A"
"Siddrath Basic School, Bhalukhola","Bakaiya-6, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Pratibha World English School","Syuchatar, Nagarjun, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Jana Kalyan Basic School","Chhatiwan, Raksirang-8, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Lasang Karpo Basic School","Rubi Valley-1, Dhading","N/A","N/A","Public","N/A","N/A"
"Masta Basic School","Athimada, Durgathali-2, Bajhang","N/A","N/A","Public","N/A","N/A"
"Euro Star Pre Primary School","Koteshwor, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shree Abimukteswar Gurukul Bidhyapith","Dalki, Kachankawal-3, Jhapa","N/A","N/A","Religious","N/A","N/A"
"Bal Basic Level School, Phalja","Phalja-9, Rolpa","N/A","N/A","Public","N/A","N/A"
"Shree Khadka Basic School","Mandavi-5, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Jana Sahayog Basic School","Amalachaur, Sisne-4, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Bal Bikash Aadharbhut School Punamchutara","Punamchautara, Putha Uttarganga-8, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Janashikta Basic School","Jhimka, Bhume-8, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Shankar Basic School","Nepane, Banfikot-3, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Krishan Basic School","Chhutipalti, Barekot-8, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Junior Zone Montessori","Chandragiri, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Jaladevi Basic School","Chilaunekharka, Gaurishankar-3, Dolakha","N/A","N/A","Public","N/A","N/A"
"Narkel Basic School","Narkel, Sotang-3, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Himali Deaf And Intellectual Disabled Residential School","Simkot-5, Humla","N/A","N/A","Public","N/A","N/A"
"Thame Basic School","Thame, Khumbu Pasang Lhamu-5, Solukhumbu","N/A","N/A","Public","N/A","N/A"
"Sewalung Basic School","Malbanshe, Panchkhapan-9, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Mahankali Basic School","Chapabote, Salpasilichho-9, Bhojpur","N/A","N/A","Public","N/A","N/A"
"Sadhukuti English School","Jantachowk, Gauriganj-5, Jhapa","N/A","N/A","Public","N/A","N/A"
"Shanti Buddha Basic School","Roshi-11, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Kashinath Basic School","Thoklung, Aathrai-7, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Akata Basic School, Koilani","Koilani, Alital-4, Dadeldhura","N/A","N/A","Public","N/A","N/A"
"Birendra Basic School, Dangigau","Dangigaun, Bagchaur-9, Salyan","N/A","N/A","Public","N/A","N/A"
"Bhawani Basic School","Thumma, Sirijangha-4, Taplejung","N/A","N/A","Public","N/A","N/A"
"Seti Devi Basic School","Paseban, Doramba Shailung-4, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Madarsa Bismillah Kuran Basic School","Sibai, Chaudandigadhi-5, Udayapur","N/A","N/A","Religious","N/A","N/A"
"Pokhari Bhanjyang Basic School","Kutumsa, Harinas-7, Syangja","N/A","N/A","Public","N/A","N/A"
"Haleshwor Basic School","Tinekhu, Gaurishankar-5, Dolakha","N/A","N/A","Public","N/A","N/A"
"Kali Devi Basic School","Ghoptebyasi, Makawanpurgadhi-6, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Kalika Aa Bi","Pipalchaur, Chamunda Bindrasaini, Dailekh","N/A","N/A","Public","N/A","N/A"
"Deurali Ratnalal Basic School, Digra","Digra Dhapa, Sinja-1, Jumla","N/A","N/A","Public","N/A","N/A"
"Adarsha Basic School Khewang","Arjunchaupari-4, Syangja","N/A","N/A","Public","N/A","N/A"
"Calyx English Boarding School","Saldanda, Harinas-1, Syangja","N/A","N/A","Private","N/A","N/A"
"Prakasheshwar Aa Bi Siddhakali","Chainpur-3, Sankhuwasabha","N/A","N/A","Public","N/A","N/A"
"Madrasa Dare Aitam Umme Ahmad Lil-Baneen","Kapilvastu","N/A","N/A","Religious","N/A","N/A"
"Khagendra Basic School","Ranagaun, Chhatreshwori-6, Salyan","N/A","N/A","Public","N/A","N/A"
"Birendra Shila Basic School","Tap, Dordi-8, Lamjung","N/A","N/A","Public","N/A","N/A"
"Prerana Awasiya Bidhyalaya","Itahari-10, Sunsari","N/A","N/A","Private","N/A","N/A"
"Shree Janajagriti Primary School Sokhukhola","Sokhukhola, Phikkal-6, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Madarsa Al-Jamiyatul Mohamadiya Al-Salafia, Pipara","Lumbini Sanskritik-9, Rupandehi","N/A","N/A","Religious","N/A","N/A"
"Madarsa Abubakar","Santnagar, Dhangadhimai-4, Siraha","N/A","N/A","Public","N/A","N/A"
"Brahmeshwar Ved Vidyashram","Kabilas, Panchakanya-2, Nuwakot","N/A","N/A","Public","N/A","N/A"
"Navin Bhawani Basic School, Deuralidada","Bagchaur-6, Salyan","N/A","N/A","Public","N/A","N/A"
"Jana Kalyan Basic School","Sidure, Chhatreshwori-1, Salyan","N/A","N/A","Public","N/A","N/A"
"Adarsha Basic School","Mathagadhi-5, Palpa","N/A","N/A","Public","N/A","N/A"
"Jalpa Devi Basic School","Dangapa, Laligurans-5, Tehrathum","N/A","N/A","Public","N/A","N/A"
"Arjundhara Academy","Birtamod, Jhapa","N/A","N/A","Private","N/A","N/A"
"Shivalaya Basic School","Bhimapokhara, Kathekhola-2, Baglung","N/A","N/A","Public","N/A","N/A"
"Sidhaswori Basic School, Chhapre","Panchapuri-7, Surkhet","N/A","N/A","Public","N/A","N/A"
"Shree Baljyoti Basic School","Khalsa, Likhu Tamakoshi-7, Ramechhap","N/A","N/A","Public","N/A","N/A"
"Jana Prabhat Basic School","Mandandeupur-3, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Dasharatha Adharbhut School Tupa","Tupa, Putha Uttarganga-11, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Golmadevi Basic School","Champadevi-2, Okhaldhunga","N/A","N/A","Public","N/A","N/A"
"Dn English Boarding School","Kisanpur, Chandranagar-1, Sarlahi","N/A","N/A","Private","N/A","N/A"
"Suryodaya Basic School Gurdingaudi","Baijapur, Rapti Sonari-3, Banke","N/A","N/A","Public","N/A","N/A"
"Naineldev Basic School","Dhainedi, Khandachakra-2, Kalikot","N/A","N/A","Public","N/A","N/A"
"Janta Basic School Galbhang","Galbhanjyang, Katari-13, Udayapur","N/A","N/A","Public","N/A","N/A"
"Panchakanya Basic School","Dahar, Rautamai-1, Udayapur","N/A","N/A","Public","N/A","N/A"
"Jaya Saraswati Basic School","Rampur, Mandandeupur-12, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Sahid Smriti Basic School","Mayankhu, Katari-13, Udayapur","N/A","N/A","Public","N/A","N/A"
"Shivalaya English Boarding School","Aathrai Tribeni, Taplejung","N/A","N/A","Private","N/A","N/A"
"Madrasa Mazharul Uloom Al Salafiya Kharukyahi","Kharukyahi, Laxmipur Patari-5, Siraha","N/A","N/A","Public","N/A","N/A"
"Peace Garden Kindergarden School","Kageshwari Manohara-7, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Bal Bikash Basic School","Bobang, Dhorpatan-7, Baglung","N/A","N/A","Public","N/A","N/A"
"Hile Basic School","Tamankhola-3, Baglung","N/A","N/A","Public","N/A","N/A"
"Durgeshwori Basic School Ramala","Ramala, Dilasaini-1, Baitadi","N/A","N/A","Public","N/A","N/A"
"Kalika Basic School","Budhinanda-1, Bajura","N/A","N/A","Public","N/A","N/A"
"Dolari Basic School","Chanada, Bungal-3, Bajhang","N/A","N/A","Public","N/A","N/A"
"Nawa Durga Basic School","Durgathali-3, Bajhang","N/A","N/A","Public","N/A","N/A"
"Manedanda Basic School","Hilihang-6, Panchthar","N/A","N/A","Public","N/A","N/A"
"Jaljala English Boarding School","Julake, Shitaganga-6, Arghakhanchi","N/A","N/A","Private","N/A","N/A"
"Smart Kidz Sundarijal","Gokarneshwar, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Shree Primary School","Kapurkot-3, Salyan","N/A","N/A","Public","N/A","N/A"
"Krishna Pipaldanda Basic School Bhorle","Dudhauli-14, Sindhuli","N/A","N/A","Public","N/A","N/A"
"Rajapani Basic School Sajetara","Musikot-1, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Madrassa Rijbiya Garib Nawaj","Kaudena-9, Sarlahi","N/A","N/A","Religious","N/A","N/A"
"Pashupati Nath Basic School","Shankarpur, Tikapur-3, Kailali","N/A","N/A","Public","N/A","N/A"
"Loktantrik Basic School Kanchanpur","Babai-4, Dang","N/A","N/A","Public","N/A","N/A"
"Shankar Aadharbhut Bidhyalay","Kumyahi Jhoda, Ramdhuni-2, Sunsari","N/A","N/A","Public","N/A","N/A"
"Shree Situmari Manoj Mittal Pra Bi","Situmari-1, Jhapa","N/A","N/A","Public","N/A","N/A"
"Rumaldev Basic School, Gurugaun","Gurugaun, Soru-11, Mugu","N/A","N/A","Public","N/A","N/A"
"Panchakosi Basic School","Ausheluchaur, Pokhara-23, Kaski","N/A","N/A","Public","N/A","N/A"
"Shree Chandi Niketan Basic School","Robholung-3, Diprung Chuichumma-3, Khotang","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Mukhiatol, Sunwal-2, Parasi","N/A","N/A","Public","N/A","N/A"
"Saraswati Basic School","Gotamthok, Nagarjun-7, Kathmandu","N/A","N/A","Public","N/A","N/A"
"Nuwadev Basic School","Seguni, Jorayal-3, Doti","N/A","N/A","Public","N/A","N/A"
"Bhanu Bhakta Basic School","Thala, Thuli Bheri-1, Dolpa","N/A","N/A","Public","N/A","N/A"
"Godawori Spring Field Public School","Godawari, Kailali","N/A","N/A","Private","N/A","N/A"
"Shree Srijana Primary School","Resunga-7, Gulmi","N/A","N/A","Public","N/A","N/A"
"Sarswoti Basic School","Majhiwada, Tilagufa-11, Kalikot","N/A","N/A","Public","N/A","N/A"
"Takshashila Academy","Manehara, Dhangadhi-7, Kailali","N/A","N/A","Private","N/A","N/A"
"Anwadi Basic School","Dadagaun, Jorayal-6, Doti","N/A","N/A","Public","N/A","N/A"
"Hamseshwor Basic School","Bhagawanpur, Rapti-6, Dang","N/A","N/A","Public","N/A","N/A"
"Dharmodaya Primary School","Ramite-2, Dhankuta","N/A","N/A","Public","N/A","N/A"
"Masta Basic School","Junichande-3, Jajarkot","N/A","N/A","Public","N/A","N/A"
"Gyanodaya Basic School","Badahare, Rong-1, Ilam","N/A","N/A","Public","N/A","N/A"
"Shalledhar Basic School","Shalla, Naugad-1, Darchula","N/A","N/A","Public","N/A","N/A"
"Durgeshwori Basic School","Barku, Marma-4, Darchula","N/A","N/A","Public","N/A","N/A"
"Kal Ganesh Basic School","Bahungau, Thaha-8, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Jaya Devi Basic School","Raichu, Naugad-6, Darchula","N/A","N/A","Public","N/A","N/A"
"Manakamana Basic School","Churtipakha, Aathbiskot-7, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Apex International","Mahottari","N/A","N/A","Private","N/A","N/A"
"Shristi Kanta Basic School","Tupichatole, Banepa-4, Kavrepalanchok","N/A","N/A","Public","N/A","N/A"
"Gajurmukhi English School","Gajurmukhi, Mangsebung-1, Ilam","N/A","N/A","Private","N/A","N/A"
"Singha Kali Basic School","Khartamcha, Kepilasgadhi-2, Khotang","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Kotthar, Dedhgaun, Baudikali-2, Nawalpur","N/A","N/A","Public","N/A","N/A"
"Chhiruwa Basic School","Chande, Phalelung-1, Panchthar","N/A","N/A","Public","N/A","N/A"
"Pushpa Mohan Basic Level School","Satyawati-2, Gulmi","N/A","N/A","Public","N/A","N/A"
"Siddhartha Gyan Kunj English Boarding School","Bhangaha, Mahottari","N/A","N/A","Private","N/A","N/A"
"Garima English School","Kawasoti-4, Nawalpur","N/A","N/A","Private","N/A","N/A"
"Dharnikhop Basic School","Dharnekhop, Phakphokathum-2, Ilam","N/A","N/A","Public","N/A","N/A"
"Nepal Rastriya Basic School Simalkhet","Chaukune-3, Surkhet","N/A","N/A","Public","N/A","N/A"
"Lumbini Bal Bikash Kendra","Godawari-10, Lalitpur","N/A","N/A","Public","N/A","N/A"
"Basic School, Kolkhop","Kolkhop, Bakaiya-12, Makwanpur","N/A","N/A","Public","N/A","N/A"
"Laxmi Adharbhut Vidyalaya","Nayatola, Ribdikot-5, Palpa","N/A","N/A","Public","N/A","N/A"
"Ra. Aadharbhut Vidyalaya Harrabisuni","Harsabisauni, Rapti-13, Chitwan","N/A","N/A","Public","N/A","N/A"
"Madarsa Gulsane Taiba","Shantipur, Bateshwor-5, Dhanusha","N/A","N/A","Public","N/A","N/A"
"Happy Kids Montessori","Khairahani, Chitwan","N/A","N/A","Private","N/A","N/A"
"Kihun Basic School","Khudepani, Bhimad-2, Tanahun","N/A","N/A","Public","N/A","N/A"
"Suryodaya Adharbhut Vidyalayai Khalbot Sakh","Khalbot, Musikot-7, Western Rukum","N/A","N/A","Public","N/A","N/A"
"Janata Basic School","Nisdi-5, Palpa","N/A","N/A","Public","N/A","N/A"
"Pragatisil Basic School","Jhimruk-8, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Kids Care Montessori","Changunarayan-3, Bhaktapur","N/A","N/A","Private","N/A","N/A"
"Shiksharthi Pathshala","Ghattekulo, Kathmandu","N/A","N/A","Private","N/A","N/A"
"Bal Kalyan Basic School","Simtigaira, Bangad Kupinde-7, Salyan","N/A","N/A","Public","N/A","N/A"
"Silke Pokhari Primary School","Gorineta, Runtigadhi-2, Rolpa","N/A","N/A","Public","N/A","N/A"
"Gairi Gaun Primary School","Runtigadhi-1, Rolpa","N/A","N/A","Public","N/A","N/A"
"Palu Siddhi Primary School Sirseni","Sirseni, Airawati-1, Pyuthan","N/A","N/A","Public","N/A","N/A"
"High Land English School","Sainbu-8, Lalitpur","N/A","N/A","Private","N/A","01-2060398, 9841655743"
"Lucid Rose Boarding School","Thakre, Dhading","N/A","N/A","Private","N/A","N/A"
"Chandrodaya Basic School","Kafaldanda, Mahashila-3, Parbat","N/A","N/A","Public","N/A","N/A"
"Adarsha Adharbhut Vidhalaya","Puthauttarganga, Putha Uttarganga-6, Eastern Rukum","N/A","N/A","Public","N/A","N/A"
"Gothibang Basic School","Gothibang, Swargadwari-4, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Bal Sudhar Basic School","Thakurwark, Jhimruk-6, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Bal Bikash Primary School","Darimpata, Airawati-3, Pyuthan","N/A","N/A","Public","N/A","N/A"
"Ganesh Man Smriti Basic School","Waling-11, Syangja","N/A","N/A","Public","N/A","N/A"
